x;y;vx;vy;m;d;r;g;b
-254.4247917218392;-889.4558807877485;-0.332025865902067;0.15831285844200915;55.275638223934926;4.726195849657409;83;78;91
187.1405532101577;-1638.7018418932387;-3.710178443925256;-2.8743212096604123;200.34088129406103;7.259783217300112;211;67;98
-441.08627425818935;-771.4894797048702;0.25042195704024567;1.6403268980493144;226.67510541877363;7.5648746244164;149;93;90
-1259.3981942699697;3.1430248159344525;0.5273328767870489;0.2846685421650824;1362.979358182503;13.75614944989443;137;107;108
1604.2888506894587;1763.4753233708877;0.34251906666078513;-1.485231771717717;303.23281135470097;8.335388696653437;169;225;33
658.3115307106782;-32.19788999364054;-0.9399995359077068;0.6054385024603745;325.1754064132072;8.531780816672669;238;218;103
632.3369177357744;-1954.450372494555;1.2805067432179822;1.8317781837731038;901.9066277299363;11.987289263701147;209;13;70
1511.3334953906235;-387.92420194215737;-2.3494542957165567;-0.6091855819631056;19.983620236667996;3.3668609599967043;96;133;22
989.7437256271566;-954.4122579604704;0.3026376301915308;0.06854818999017503;657.7642162224575;10.790060347446271;124;192;233
-1028.0088879216983;1409.9549677611556;0.1424447839456173;-0.3670667864185804;531.8804900631923;10.052447477091674;190;243;115
-662.1670977551626;680.4596242099165;-2.175118168883683;-1.4975183478438399;95.90049271663877;5.679028812263488;192;46;7
-389.31407912134654;-1623.9767356659709;0.0452307024020144;0.8128683539275321;314.359250512342;8.436115960237204;233;111;45
1704.166988140334;1939.9923378537112;-0.036897490186625886;-1.4501795242150284;280.20474739671243;8.118808335360349;92;1;85
726.8034091512118;382.27177974020026;-0.23083264737404213;0.20762575250504015;1681.6437485002402;14.75406836908005;187;152;123
1408.6612671244186;1542.730807218881;-0.5826676320071269;-0.5381900280338399;248.18110505608527;7.7969251293353;13;213;218
-6.08528309222971;1559.9831898993868;0.0846678753113213;-4.00676864283882;73.16505895424335;5.18921543884375;32;128;216
1730.2144825435319;-1568.6003052013384;-1.5960549699644733;-0.19847413404563727;1123.3463204576294;12.897484509330917;73;228;51
954.1431511752345;1821.4363731278706;-0.1353967365775804;-1.4495748617473052;611.0048366924804;10.528067852466283;124;74;24
1652.8564972796544;-235.0328679129154;-1.3442765769819454;0.3873887794614902;434.8871450218136;9.399959505665764;218;255;157
1186.8823348044205;-895.1031113240016;-2.8610109049657884;0.20437050850716498;81.08552940147435;5.370090170101835;195;233;122
487.694274751559;2018.1294325031906;-0.17266917414567162;-1.3482098815019967;1690.4605396523411;14.779808434123568;184;213;71
-501.48877743433246;1640.508322187829;-0.24839076224939927;-0.777696001310505;442.2280320742424;9.452555050707682;99;53;150
-1073.4481027204145;1593.68514502312;-0.2832970333680933;-1.0539806571287615;586.0457219060373;10.382715626255502;121;94;126
970.4141100126037;1770.8137489286632;-0.110874118418431;-0.3878802486240144;1367.7656481210784;13.77223284335486;147;160;102
-114.00193084487508;-374.6141534544782;-0.948447893315175;-1.8694974359237277;66.41085256393582;5.024353000710854;225;190;102
246.57610106015818;-1622.0181503239949;-1.0053159193581944;0.9446442530447599;265.41371396806437;7.973363779631159;44;155;140
-1756.392925776931;-1810.6930585951275;0.3530396285726272;0.09354080664236515;31.842278103161924;3.9324979320437996;132;162;29
213.175708211183;165.6805750135434;-1.461436250102617;0.514234120445014;964.9115350228005;12.260164348198321;158;84;95
121.72104025671733;-959.8527640801263;0.3311251193266373;1.192902706545494;450.15172531680355;9.508677083055971;254;190;161
-19.378382234671427;-194.7774613836371;-1.183347863380535;-0.12524228064341433;297.19932254086075;8.279734248159253;92;219;120
1078.6433576867514;1169.0923426087336;-0.9045165488396157;-0.9172157128045672;987.4793765703945;12.355011025312256;254;162;82
2024.0057900524207;-288.0544446824248;-1.801619179561301;0.258240464642618;392.59158395379296;9.08477385521675;104;180;234
-1481.151906442767;-279.13501393178433;3.0066976082717254;0.03644108697787625;123.83579214484196;6.1841856889907785;89;228;153
391.0117905729414;102.19061772588924;1.7362808562059269;1.880934556270886;149.03814360452031;6.578086853432234;116;43;148
-564.2267505515135;-1794.4615845729834;0.7372762993941926;1.6832524245586762;116.53370395080533;6.06016305376371;181;73;21
-69.50812238448437;-790.1585159364068;0.1799057593735433;-0.41733530887483006;214.96309605838465;7.432274855303177;177;198;35
-1285.0081276541691;483.7700512138043;-0.9217135866542139;0.08006869166286798;570.027763621293;10.287246084037587;134;142;112
-158.94320674126004;-170.2176663238149;0.20525990369688363;0.9973797231674653;820.6449463805152;11.615882912166306;24;114;75
1722.6750651743469;1594.742927465252;1.4233536039909005;-1.3247990760415427;956.6442794746323;12.225049290735235;26;232;114
1300.3297678749493;-1808.5720262159916;0.9835900240249753;1.0886656921995872;401.6458875268462;9.154084157089247;32;121;35
-101.21254657705194;-1522.602143447361;-0.4192007150580516;1.6869203374609334;451.67176678844675;9.519367808369513;114;39;34
-650.6631709848511;1789.9597842232267;0.47924106011176776;-1.3229674145317676;113.0413524510813;5.999009838425968;94;79;135
-1931.6664625509989;566.6977482232039;-0.9850358871625512;-4.386378819170082;291.2937913653486;8.224525824929797;20;16;71
25.28971410520884;656.473212992277;-0.6934802539879903;0.031506927857879244;545.7790855727652;10.139256013520834;135;149;8
35.519403364296714;-377.43914277472527;-0.38484414375190346;0.9046368616353971;446.0727180027551;9.479869234277338;0;244;196
559.5767961890982;-821.3776073312441;2.278845784164032;-1.9464314775154232;331.90570409447434;8.590241325559587;173;43;158
-619.8871172538347;-788.5017106642772;0.3062740922037286;0.38348458119695816;719.4372078404868;11.117268401730877;71;12;186
1023.1175802859734;989.8176017698562;2.3752612148414647;-1.172171209227211;264.79288106066605;7.967142057320596;244;152;99
-915.3084670717105;704.3968096044265;0.42550185103860766;-0.04834210981762291;199.62580716147826;7.251135503424725;250;50;252
-1188.7846328178823;597.5262846439873;0.7580489702064448;1.939450125165332;469.59527621711874;9.643655753027488;47;155;199
1643.7159289183987;-1118.1387049297364;-0.538098642847055;0.5866209400012197;506.89166706799585;9.892487492207172;175;238;76
135.42964300700646;-1675.2852583221534;0.181001036945867;1.036300918694448;167.5959958419815;6.840507740827084;24;182;39
-1292.9072411740676;-976.1580431042908;1.6254681335083843;-0.7952600937512808;860.3195236583674;11.800137070954738;61;113;45
1210.2049167101704;1316.5081455209533;0.5195986756708681;-0.0875085277702116;172.9689972372656;6.912840689922417;117;209;54
-1858.8837992962997;1365.843213448046;0.6347992813417991;-0.5792639776002279;978.9480600483138;12.319327740984942;251;224;194
212.8136687650218;-1872.926586013675;-0.33632242826369263;2.2895676510903833;240.57075919222004;7.716400114644635;57;149;189
58.41852327914989;-1798.2126475852153;0.25970811536200217;-0.2494015951635308;151.4069361694292;6.612754245188014;247;253;21
-1265.7364434762815;184.68201722516096;7.624474241885996;4.867005324567928;4.690231382827804;2.0768185233350667;216;22;199
-730.6631622785185;905.5750383699641;-0.33401998494811136;-0.24070608599048599;512.7134717039352;9.93021615743212;137;216;70
1139.9040267522894;1005.1055825870136;-0.8316285941992644;-0.6070788866098743;172.11728161841683;6.901475522388679;12;197;199
1138.028714217905;456.3646966056892;-0.15492302903554767;-0.13319726330727166;967.7554933891445;12.272197643789488;222;168;3
393.55033262636334;53.84088090399526;-0.5909819762404743;0.05191467546684036;1488.8564838746247;14.167223264192668;190;185;202
-682.3038488717345;1767.9925591178785;0.4928444793533805;-1.1192664977241638;465.3824084049589;9.61473045538816;54;176;117
-1781.550556576597;50.6839362794322;0.2896382090950806;0.9812762367697891;326.0401762068248;8.539337246704847;77;149;224
652.9717223470911;-1234.2201879404722;-0.5967093854258496;0.08796223734022385;384.782780604272;9.024136768637355;184;100;252
-1637.342447044753;-735.6632684294501;0.40233497594303713;-1.7245419815878489;900.3049656596114;11.980189133654493;179;80;225
-826.8183096478544;-418.3841224388574;0.5572364929862079;0.06174981163502695;901.9177543447918;11.987338558309634;5;138;180
-476.55622133831946;1366.9307597720417;-0.22268446230754216;-0.9851881656336618;766.6159234055759;11.35515511377534;24;34;115
1463.6460361221925;-270.228453332748;-2.120554175915089;-1.34978399046742;841.5247869911842;11.713574123000646;70;6;200
517.5619329637505;-1519.2853255309315;1.0426054439620587;3.4738463917707314;508.2156909667483;9.901093211558463;138;2;26
1570.297536400959;-1780.1910470383086;-0.7777799712196637;0.7902307970440925;1271.2531567051983;13.44036740356729;166;143;34
-210.75788143658195;-684.4258472888795;0.3449774307610594;2.5699815363406504;20.09514075511876;3.3731123761793325;23;255;24
-817.8525419068079;-1289.404801135685;0.5116178879740582;-0.9050738604751524;142.4519240376576;6.479724864817972;212;195;11
-785.2210050802975;-1770.6710331592285;0.8948807794783237;1.0766283524271667;136.275113761871;6.384682572659775;111;40;114
980.2823512646918;-1202.63840340226;0.9631927489615547;-0.7029984894685337;956.6769425826832;12.225188424151902;14;228;62
-1659.7191717769003;-1262.2072940190155;-0.1850603504714334;0.11832199478929067;1232.617558729908;13.30280553807078;189;173;134
266.65911962538036;-135.13160603789925;-1.4972225827409655;-0.22584437084894993;292.17344763168387;8.232796381462702;234;57;132
-836.4610079246148;1028.0618732594487;0.14005684089628526;-0.2937526740109471;688.9411045478209;10.957912415900573;135;95;85
811.7948540003819;1160.4712577639284;-0.2399648403304534;-0.4210316172168469;926.9386131297941;12.097179286188096;253;111;225
-962.0071639772858;1048.5191252214045;1.2978062276813855;-0.5858013713518762;575.5284564464214;10.320230402189464;37;67;212
270.6853388775181;74.85690939123263;-0.148701544646925;0.48151853121841864;520.9071498373517;9.982835131795394;106;161;115
-1892.8108014078284;-317.9213200897066;0.4489941794666833;1.461090579132174;181.71430781496304;7.0274349454475225;40;141;250
1285.7335184433234;92.45089975175866;0.5704945615012303;-0.731647678814641;127.2095279675895;6.2398431486326045;135;70;72
1514.1680594407092;388.19440916325044;-0.5398258528799319;-0.21427832135026417;465.3360873867944;9.614411449718112;28;117;229
2030.7050010368462;-1241.4209033160496;-1.3494968082421794;0.16616909561952561;847.8144561148611;11.74268465900298;143;21;61
-1149.9439056854276;1412.919835342098;-0.5235266714232484;-1.686042585380559;906.6586152511759;12.00830537024476;204;225;187
-87.59483800172057;367.17612279544846;-0.3118925794449788;-0.0809281068147396;795.3256866157235;11.495171691350382;98;27;67
1275.0382233183827;-328.14857445877783;-0.44694007041069944;1.1863501811466912;618.6932913456337;10.572043177844556;58;14;67
856.7421679582286;242.82161393641124;-0.3856272397432101;-0.7958687132633873;890.8252290037246;11.937992323306963;15;61;79
126.424803564587;1753.8898365793139;-2.470448140937577;0.36303785716160036;772.789996539731;11.385557207716662;226;255;155
932.358871580898;-420.6398383464688;2.6025370092839557;1.035376690631908;180.16817939217805;7.007447013784305;50;186;184
-937.4308054259203;-308.5026344154556;-1.2429248887986966;-0.5413153055556934;725.7320730519989;11.14959857373224;18;179;46
-1794.2839747660066;1117.7919890936473;1.345868251255609;0.5079931283015194;1601.2384910242545;14.515069946208722;166;131;37
739.9753948185408;-7.03572675993416;-0.19679638702745636;-0.01973087061272463;998.004236101855;12.398750500239762;123;9;113
889.2642490280009;-919.8012986649471;-0.22295238414102064;1.4798742562012186;918.1714154405579;12.058919109556003;99;156;106
657.7806067390491;-185.56812662256215;0.11286224366685661;-0.05126026460097581;503.5947403883252;9.870993238896055;122;51;178
-82.26117579554015;299.43727742928;-2.034867818521398;0.16122433951357565;588.6937561788419;10.398330153369484;152;224;98
-66.65004599785155;444.56233877938564;2.585762953390611;1.0448833443985923;21.41058897620257;3.445164768647168;206;222;128
1813.3794438187947;-36.3361682559727;-1.272826573698163;1.595389357815372;109.67776669341627;5.938908835668163;116;72;147
181.2690713711614;1153.3980987782277;-0.5745992273102993;0.23370921200674194;360.34888471571315;8.828932299437833;209;204;182
-1151.8918853792197;614.8587280419864;0.00431356089560984;0.2592621708498153;606.2834035171403;10.50087976607909;214;196;78
-1914.1747685390733;-816.8226807588721;1.3142111751160268;1.3413141795133403;66.42738612097232;5.0247699181821925;236;142;142
-1895.2126881518466;1892.7644796075074;0.9171571848745721;-1.487774533680819;155.18633431768734;6.667324878083389;235;48;36
-290.7403418840583;1168.536297908451;-0.2624163883692068;0.8656749282472237;594.0154136694549;10.429569056270324;118;237;102
-505.34787481541747;1860.1463987275945;1.5461003516688505;-6.4182568304339815;746.6535378775768;11.255725720019493;111;208;216
451.143973546546;1027.8996855699029;-1.769521151060414;0.9112279588829328;772.1259600651139;11.38229517800435;133;164;145
-1038.3496513631924;1544.9014503922326;0.40712428161530606;-0.47438486405791386;461.8295830787987;9.59020098271239;59;11;71
-395.5172139243783;-941.5322651386798;-1.4005940731549034;-0.8364528931480383;515.9396706044602;9.95100092442323;172;199;98
760.8444540059534;150.22096274022067;0.026752213766417846;0.6985436439867456;702.2203433450796;11.027868907557293;160;247;251
-617.4505512487361;1467.8101188811827;0.469709403970351;-2.0650963326105565;751.2639244171021;11.278845234687148;126;168;88
-1315.2416388557897;-320.8305056230185;-0.34609044274942796;-3.1625870414715354;559.0973412797151;10.221067779088855;182;196;40
-1502.2122088283177;-467.0332842297946;1.932274928849544;-1.2826804315923335;472.44671129766465;9.663135497398867;24;230;55
-1296.8343005382842;903.6384544884766;2.928631188892595;0.7433355556051775;142.31521692587182;6.477651398054703;69;91;181
-1806.732389533408;103.82420745913352;0.8097100491651275;0.6638807723610958;1790.2171866791623;15.064996436860174;133;225;34
392.2099113050964;701.552938730937;0.22344103224403558;0.07800358107058993;701.0728324984962;11.021858686498476;168;150;208
384.3157720251607;1977.7870229232456;4.224500009418812;-7.2309965578097035;245.2341008089688;7.765940868059308;95;127;221
-25.04033451769959;1831.7941087079926;0.39125930116704616;-1.2610354288688608;557.7374175876482;10.212773959587603;132;12;116
155.44150873703433;1897.7610605518037;-0.8078682505219617;-1.434058430102517;618.1536163326822;10.568968349358636;206;84;193
586.1648730715008;1769.847845999451;-1.6777389974983494;-1.709363608226875;4.625719606658465;2.0672526653819205;210;156;120
-162.41671289701006;-544.6102525164698;-2.118202578541332;-3.8914860372752544;515.3189612106348;9.947008753280736;134;186;214
-963.001885651135;1267.225203135087;4.104503529980711;-2.082663333052945;684.9106833661315;10.936502067347083;9;48;7
-785.945481456784;-1476.7199385477347;-0.4280257955746432;0.35958646370906316;160.29287632317892;6.739668462113548;199;54;14
861.7190259209676;-1728.1435718631985;-0.06280559240512733;-0.30343329025340815;273.44040702664915;8.05294420054185;71;248;130
1004.968574856947;-1842.6800946093801;0.23178608518942323;-0.005024851415266719;864.2576984059235;11.818114993579208;218;194;1
751.5631265891982;416.6584707727291;-1.3574535462558468;-0.7892340091879346;564.7637110378279;10.255481455948825;116;63;209
-747.1594687474093;-1130.7258350598233;-0.014155469207793796;0.8458783603614326;721.7396298449327;11.12911534071478;255;133;160
