x;y;vx;vy;m;d;r;g;b
-254.69908440786074;-889.2814499854746;-0.44193507882064537;0.34673362759605514;55.275638223934926;4.726195849657409;83;78;91
181.55707944661813;-1646.397389756796;0.488742824461628;1.8585824222985554;1083.4957726139326;12.74313252387401;168;109;149
-440.85365750612686;-770.0511560364366;0.4028122438424743;2.419883766237733;226.67510541877363;7.5648746244164;149;93;90
-1258.9400153715126;3.3877087636263186;0.7649875948255443;0.40604862275594106;1362.979358182503;13.75614944989443;137;107;108
1604.5844181998882;1762.182783567753;0.48962201562692814;-2.1633554613089445;303.23281135470097;8.335388696653437;169;225;33
657.5182177017807;-31.691753704702347;-1.3019980557853366;0.8266499499972895;325.1754064132072;8.531780816672669;238;218;103
633.5376186394976;-1952.8553065869505;2.153966705734742;2.681959559813457;901.9066277299363;11.987289263701147;209;13;70
1509.3879052889458;-388.25465207829956;-3.1557522151501014;-0.3552966577234373;19.983620236667996;3.3668609599967043;96;133;22
990.0103012729112;-954.3475441040987;0.449576547744966;0.11279569826404416;657.7642162224575;10.790060347446271;124;192;233
-1027.8796427624206;1409.6375666621225;0.22172835539660501;-0.5282050586224879;531.8804900631923;10.052447477091674;190;243;115
-664.0611082414301;679.2207677742035;-3.1823320629356022;-2.009809224273194;95.90049271663877;5.679028812263488;192;46;7
-389.2767184192225;-1623.279028250393;0.060489621063583326;1.1561608744324494;314.359250512342;8.436115960237204;233;111;45
1704.1403266853672;1938.753599046937;-0.03717523945167219;-2.045646199028483;280.20474739671243;8.118808335360349;92;1;85
726.6040190903778;382.4557711685364;-0.3304782993643709;0.3129985457310413;1681.6437485002402;14.75406836908005;187;152;123
1408.1583283487014;1542.2695375274532;-0.8368282579301144;-0.7630268627846253;248.18110505608527;7.7969251293353;13;213;218
-5.975163454123759;1556.4468719341223;0.23022075743858178;-6.019041283086159;73.16505895424335;5.18921543884375;32;128;216
1728.7438135135258;-1568.8378763194912;-2.6002709641063855;-0.5144851805060142;1123.3463204576294;12.897484509330917;73;228;51
